ax,ay,az,gx,gy,gz,temp,flame
5092,-1608,-8488,-2121,111,744,129,1
308,3700,-6376,-2069,420,866,143,1
4420,932,-3896,-2667,-360,760,128,1
5532,-796,-7480,-2571,-363,863,142,1
1852,-1012,-9128,-2379,155,739,145,1
-1292,1628,-6960,-1701,-83,985,148,1
3568,3656,7972,-1332,-1392,961,141,1
2152,1872,8952,-779,-2466,929,100,1
-9196,-1864,19580,-986,-4303,185,136,1
2524,4028,32072,-1190,-3048,-7,132,1
6592,4488,31180,-303,-66,137,136,1
-5024,6576,32767,-424,-460,29,120,1
-10848,-5032,22080,-1292,-4101,-47,76,1
-15384,-1044,32767,-738,-4274,219,146,1
4256,1380,4856,-971,-1615,903,147,1
0,0,0,0,0,0,122,1
-2828,-8684,23456,-214,866,-1177,127,1
-2828,-8684,23456,-214,866,-1177,72,1
-15668,2872,32767,-1440,-3899,-98,80,1
4988,288,1196,-1037,-1786,936,114,1
6212,-1716,-8444,-3271,-1398,778,128,1
-11548,-9208,17028,-1800,-2242,-772,143,1
-9160,-2152,20316,-422,1026,-1225,146,1
-11192,4900,11724,-1875,-1637,-306,157,1
9748,1756,29088,2114,4185,-1,128,1
-15372,7012,32767,-125,464,140,133,1
-16552,116,32767,-1,-1,-1,179,1
4708,168,4420,-1527,-537,890,125,1
1216,-644,-8464,-2880,-371,597,128,1
-7752,468,792,-3995,-2059,698,72,1
-15212,-9088,15200,-4097,-3414,601,116,1
4128,-52,-8208,-2625,-286,762,116,1
4232,556,-3352,-1807,-469,935,77,1
4680,1356,-6740,-1206,-1173,1002,96,1
-3572,-24,11800,-808,-2187,993,96,1
4516,-384,3888,-1278,-510,961,79,1
3040,-1412,-8420,-2156,153,828,149,1
-4480,4388,-1104,-3589,-1893,677,124,1
-1044,6144,-6316,-4025,-3129,584,96,1
-14956,-6252,9368,-3966,-3859,-78,143,1
-9220,-11016,20244,-2623,-3202,-760,140,1
-15176,-8244,14244,-2412,-3126,-623,137,1
